BookID,Title,Author,Year,Genre,Status,Borrower
1001,Welcome to CST,Admin,1941,Educational,Available,-
1002,Clean Code,Robert C. Martin,2008,Software Engineering,Borrowed,Michael
1003,Operating System Concepts,Abraham Silberschatz,2023,Operating Systems,Available,-
1004,Computer Networks,Andrew S. Tanenbaum,2021,Networking,Available,-
1005,Python Crash Course,Eric Matthes,2023,Programming,Borrowed,John Smith
1006,Artificial Intelligence A Modern Approach,Stuart Russell,2021,Artificial Intelligence,Borrowed,Michael
1007,Cybersecurity Essentials,Charles J. Brooks,2022,Cybersecurity,Available,-
1008,Database System Concepts,Abraham Silberschatz,2020,Databases,Borrowed,Sarah Jones
1009,Computer Organization and Architecture,William Stallings,2022,Computer Architecture,Available,-
1010,Introduction to Algorithms,Thomas H. Cormen,2022,Algorithms,Available,-
1011,dfsa;KLJHD,JShd;QHD,1987,KJHAd;,Available,-
1101,Java Fundamental: OOP,Michael C.N,2026,Software Engineering,Available,-
12435,Aveen Book,Dr. Aveen,2024,Robotics,Available,-
